1,0.42214535,0.41768099,0.45695138,0.47159221,0.46295259,0.43072447,0.50648541,0.40451727,0.55011158,0.40458349,0.47333833,0.45910055,0.49459139,0.44605566,0.54170579,0.42435638,0.5828274,0.41695894,0.54090567,0.44182922,0.53122491,0.4410579,0.48067616,0.50740819,0.53436524,0.57823148,0.55056007,0.44399532,0.50672319,0.50648721,0.55975848,0.58482974
2,0.4210584,0.41446438,0.45629311,0.47138421,0.46188795,0.43065392,0.50979648,0.40648796,0.5590601,0.40835453,0.4718741,0.45902032,0.49342743,0.44592196,0.54062774,0.42364793,0.58310258,0.41611503,0.54235564,0.44258912,0.5327168,0.4413176,0.47960675,0.51025847,0.52712329,0.59195855,0.55152051,0.44477514,0.50616163,0.50783049,0.55837942,0.58118493
3,0.41916794,0.41867993,0.45519832,0.47250868,0.46113359,0.43095746,0.50858442,0.40709034,0.55560812,0.40852936,0.47090023,0.46092177,0.49224712,0.44887834,0.54155938,0.42537844,0.58354381,0.41778556,0.54293865,0.44184506,0.53285799,0.44079187,0.47965626,0.51195808,0.52648013,0.59511525,0.55261194,0.44432824,0.50360839,0.51094749,0.56287197,0.5917807
4,0.41704222,0.4164149,0.45294266,0.47202608,0.45956678,0.43048396,0.50926154,0.40628953,0.55894261,0.41005783,0.46878039,0.46127575,0.49025161,0.44710112,0.54018879,0.42453168,0.58402879,0.41735497,0.54333128,0.44256195,0.53349108,0.44181621,0.47901578,0.5118429,0.52617325,0.59535362,0.55295594,0.44574074,0.50237261,0.51043836,0.56197429,0.5921244
5,0.41354432,0.41832494,0.45116867,0.47341608,0.45791512,0.43092057,0.5066392,0.40633513,0.55714709,0.4113141,0.46747746,0.46518253,0.48874873,0.44881848,0.53801883,0.42592626,0.58144144,0.4184937,0.54085708,0.44449461,0.53142256,0.44425261,0.47587736,0.51152416,0.52497234,0.59352135,0.550209,0.44818061,0.50005042,0.51300252,0.5605619,0.59466506
6,0.41099393,0.42122248,0.45081587,0.47419766,0.45831821,0.43192794,0.51175746,0.40940307,0.56387647,0.41562051,0.46711838,0.46844227,0.48762074,0.44999963,0.53838955,0.42560762,0.5829721,0.41921677,0.54289318,0.44484921,0.53409167,0.44523759,0.47542444,0.51304888,0.52252197,0.59543914,0.55113161,0.44941016,0.49589867,0.51451572,0.54845203,0.59359968
7,0.40870735,0.42233181,0.449687,0.47339564,0.45705977,0.4301992,0.5080774,0.40800247,0.55891913,0.41048795,0.46610976,0.46341513,0.48688634,0.45093655,0.53953433,0.42545855,0.58466129,0.41852427,0.54222354,0.44201593,0.5329237,0.44205147,0.47622767,0.51471158,0.52543908,0.59755358,0.55041582,0.44644583,0.49857651,0.51534044,0.55913807,0.59320885
8,0.11350154,0.41852719,0.16047577,0.4577739,0.16476819,0.42778183,0.19489094,0.40425781,0.24199264,0.3800666,0.17107484,0.4700837,0.17201668,0.44630428,0.23394424,0.4131575,0.23829658,0.47099543,0.22692998,0.47464028,0.21296195,0.48506549,0.18920432,0.53901963,0.31534716,0.61425577,0.23421636,0.48114207,0.2761223,0.56320238,0.30805464,0.61531472
9,0.31813836,0.413064,0.27557239,0.43862136,0.25278183,0.43851745,0.1886929,0.43535997,0.13735218,0.45798484,0.26500668,0.45005265,0.26811143,0.44125917,0.21995814,0.41002976,0.16246424,0.41775118,0.18166023,0.47190143,0.17675602,0.48394356,0.23530512,0.55335694,0.28171479,0.61584194,0.19406387,0.46940618,0.23537161,0.550581,0.28288784,0.61506351
11,0.39776735,0.4336077,0.44106287,0.47818435,0.45663695,0.43659186,0.50704753,0.41007206,0.56187701,0.4238411,0.46177624,0.47119709,0.47681924,0.45426071,0.52760464,0.43157508,0.57015411,0.42859515,0.53801519,0.44627883,0.53202402,0.44534954,0.46872395,0.51233665,0.52474422,0.59294637,0.54331067,0.45350266,0.48076263,0.51746134,0.53882125,0.58825441
12,0.39773855,0.42845697,0.44074805,0.48002496,0.46443678,0.44356367,0.517819,0.42048526,0.56498779,0.42811446,0.46416892,0.47820291,0.47443905,0.45753201,0.52588836,0.43312711,0.56961629,0.42952981,0.53662159,0.4487319,0.53211618,0.44984476,0.46814846,0.51570609,0.52246994,0.59944176,0.54159448,0.4558675,0.47930195,0.5213055,0.54583886,0.60017246
13,0.39380418,0.43203788,0.43698104,0.48040089,0.45410666,0.44105471,0.50415163,0.418664,0.55762028,0.42979423,0.45791487,0.47631485,0.47219103,0.45933801,0.52354178,0.43615285,0.56680456,0.43207824,0.53510332,0.45014142,0.52856898,0.45057994,0.46500153,0.51574644,0.51728532,0.60364837,0.54100944,0.45771394,0.47995324,0.52147088,0.54364226,0.60644855
14,0.38941931,0.43322258,0.43288552,0.48241918,0.45048868,0.43914345,0.50747822,0.41985502,0.55850849,0.43224397,0.45464269,0.47903312,0.46924537,0.45897448,0.52239909,0.43668441,0.57183457,0.43318426,0.53196194,0.45056386,0.52623413,0.45104192,0.46300143,0.51402379,0.52565931,0.59839217,0.5376584,0.45708371,0.47335187,0.51949966,0.54098442,0.5996701
15,0.38550248,0.44105018,0.43085759,0.48309949,0.44998948,0.44080536,0.4977556,0.41164112,0.56152204,0.43149753,0.4549749,0.48120595,0.46522952,0.45888516,0.52003583,0.43539449,0.56867268,0.4332452,0.52995989,0.45080228,0.52581638,0.45188837,0.46299215,0.51344931,0.51947723,0.60048069,0.53407354,0.45786188,0.47325154,0.52209639,0.53608003,0.60291256
16,0.3826893,0.44365451,0.42678102,0.48332646,0.44414922,0.44189995,0.49738945,0.42035847,0.55121124,0.43451618,0.45005129,0.48677853,0.46078808,0.46354784,0.51350934,0.43751423,0.56029053,0.43904795,0.52578545,0.45427435,0.52080559,0.45453957,0.45740812,0.52020423,0.51500603,0.60778104,0.53118071,0.46289536,0.47050147,0.5284245,0.53664932,0.61185777
17,0.3835799,0.43187841,0.42324324,0.48849214,0.43900447,0.44631574,0.4931272,0.42312896,0.54792615,0.4271891,0.44295829,0.48286711,0.45799546,0.46688439,0.51407684,0.4432209,0.56493798,0.44146324,0.52712016,0.4546659,0.52094145,0.45419232,0.45717252,0.52151561,0.51493415,0.60143397,0.53321806,0.4594523,0.46724435,0.52728763,0.53342416,0.603293
18,0.37906184,0.43724503,0.42284689,0.48510762,0.44238753,0.44396627,0.49474649,0.42249361,0.54745382,0.42843394,0.44474275,0.49024439,0.45456509,0.46625628,0.51062209,0.4418046,0.56913832,0.43895193,0.52252817,0.45620302,0.51730936,0.4560659,0.45786194,0.53284736,0.52023597,0.6066879,0.52776768,0.46374286,0.46547391,0.53494316,0.52680558,0.60716034
19,0.3772869,0.44711931,0.42197254,0.485346,0.44072812,0.44756142,0.49799617,0.42773678,0.55357373,0.43463569,0.44483731,0.49119073,0.45391219,0.46700865,0.50961816,0.44021765,0.55971638,0.43818226,0.52130193,0.45682486,0.51705348,0.45762304,0.45754347,0.53138792,0.51837946,0.60993948,0.52595797,0.4645459,0.46541195,0.5352254,0.52909014,0.61036995
20,0.37954791,0.43873489,0.42248972,0.48637739,0.44100127,0.44595163,0.49702407,0.42803294,0.55060595,0.43862953,0.44296687,0.49088684,0.45358991,0.46874203,0.5107237,0.44097915,0.55754481,0.44251828,0.52136004,0.45465213,0.51783623,0.45511854,0.46039828,0.53406541,0.52276257,0.61452753,0.52569814,0.46187189,0.46465502,0.5376633,0.52946133,0.61758156
21,0.38017146,0.44170464,0.42342854,0.48600422,0.44369048,0.44334321,0.50021231,0.42732243,0.55482169,0.43864217,0.44520109,0.49092948,0.45340085,0.46671169,0.50902808,0.43969083,0.55914855,0.43976924,0.52122072,0.45452655,0.519228,0.45573884,0.46510647,0.54141436,0.52775594,0.6164153,0.52384444,0.4614486,0.46809232,0.54283757,0.53200561,0.6197613
22,0.38227963,0.43104808,0.42208785,0.48540884,0.44332726,0.44316031,0.49755243,0.42740855,0.55038666,0.43884072,0.44305292,0.48449624,0.45294676,0.4651352,0.50645204,0.43863236,0.5530721,0.44043448,0.52436534,0.45579769,0.52109157,0.45490437,0.46807765,0.54829545,0.5312735,0.62337864,0.52748633,0.46106396,0.47041055,0.54845696,0.53404533,0.62567799
23,0.38194351,0.42725135,0.42314188,0.47868402,0.44415952,0.43794056,0.50083749,0.4246124,0.55577881,0.43688989,0.44473909,0.48099435,0.45157099,0.46074878,0.50642709,0.43515341,0.55888509,0.43525763,0.52557293,0.4529357,0.52262296,0.45348899,0.47193618,0.55539792,0.53360344,0.63216794,0.52688012,0.45897605,0.47315444,0.55483977,0.53654249,0.63333075
24,0.3835183,0.41724294,0.42214373,0.47298739,0.44521815,0.43251741,0.50186742,0.42015959,0.55311829,0.43331439,0.44475929,0.47549156,0.45239187,0.45659095,0.5038563,0.43167412,0.55059775,0.43072717,0.52468237,0.44829608,0.52233662,0.44957685,0.47871678,0.55523437,0.53700647,0.63289718,0.52578559,0.45516802,0.47734476,0.55815013,0.53811457,0.63473896
25,0.38408601,0.4079765,0.42209897,0.4653068,0.44512098,0.42509758,0.50134168,0.41637191,0.55392727,0.43602057,0.44275859,0.46725834,0.45175662,0.4485237,0.50412796,0.42459146,0.55504084,0.41997121,0.52557829,0.44769193,0.52332599,0.44941459,0.48156498,0.55901351,0.54159929,0.63660167,0.52723506,0.45390449,0.48218541,0.5609987,0.54235329,0.64065162
